comment_id,film_id,film_ru,film_en,film_year,film_url,nomination_codes,comments_page,author_hash,published_at_raw,published_at_iso,comment_text,likes,parent_comment_id,thread_depth,is_reply,comment_url,collected_at,source_endpoint,source_response_sha256,llm_contains_film_reaction,llm_relevance_primary,llm_valence,llm_emotions,llm_primary_emotion,llm_praise_targets,llm_criticism_targets,llm_frames,llm_rhetorical_modes,llm_comparison_present,llm_comparison_result,llm_oscar_stance,llm_intensity,llm_mentions_platform_issue,llm_interpersonal_component,llm_pre_release_or_trailer,llm_needs_human_review,llm_evidence_fragment,llm_provider,llm_model,llm_schema_version,llm_coding_status
5565785,film_002,Битва за битвой,One Battle After Another,2025,https://rezka.fi/films/drama/78875-bitva-za-bitvoy-2025-latest.html,best_picture;best_actor;best_director;best_supporting_actor;best_supporting_actress;best_adapted_screenplay;production_design;cinematography;casting;editing;score;sound,15,60350cb666090c0d23193e43917ae01a467ce73ec07df7faae10c1c9a5df6482,оставлен 27 ноября 2025 11:13,2025-11-27T11:13+03:00,"полностью согласен левачиной несёт от фильма на километры, белы цисгендерные нацисты как всегда угнетают бедных несчастных эмигрантов и прочее меньшество, а то как снят фильм 10/10. Просто нужно смириться что весь голливуд левачий там ничего не снимают адекватного уже(",1,5564609,1,1,https://rezka.fi/films/drama/78875-bitva-za-bitvoy-2025-latest.html#comment5565785,2026-06-26T18:47:32+03:00,https://rezka.fi/ajax/get_comments/?t=1782488851550&news_id=78875&cstart=15&type=0&comment_id=0&skin=hdrezka,fdbc0f3e74d7b3adf2cb407d1594931123cfc460d298f95a92aa0c91094a603b,True,film_reaction,unclear,"[""irritation_or_anger"", ""disappointment""]",disappointment,"[""film_overall""]","[""film_overall""]","[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,2,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5719655,film_003,Марти Великолепный,Marty Supreme,2025,https://rezka.fi/films/drama/81513-marti-velikolepnyy-2025-latest.html,best_picture;best_actor;best_director;best_original_screenplay;production_design;cinematography;casting;costume_design;editing,12,ea271935da8730a246ee2ddae30d8acb2cabcdac9589a9e6efdd55685ba35a70,оставлен 11 февраля 2026 13:21,2026-02-11T13:21+03:00,Вы тоже всех подряд кидали без малейшего угрызения совести?),1,5719474,1,1,https://rezka.fi/films/drama/81513-marti-velikolepnyy-2025-latest.html#comment5719655,2026-06-26T18:48:33+03:00,https://rezka.fi/ajax/get_comments/?t=1782488911590&news_id=81513&cstart=12&type=0&comment_id=0&skin=hdrezka,d83c2dedf0557b48667df79a2f915c5f9d61cf685a0272f0cfcfb248f61b0155,True,film_reaction,unclear,"[""irritation_or_anger""]",irritation_or_anger,[],[],"[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,1,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5542941,film_023,Школьный автобус,The Lost Bus,2025,https://rezka.fi/films/drama/81169-shkolnyy-avtobus-2025-latest.html,visual_effects,1,aad20d223b5b0818221a58255b34c172c2dbcc445ad6dd512b7789e19648726d,оставлен 15 ноября 2025 21:36,2025-11-15T21:36+03:00,"Хороший фильм , смотреть было интересно, точно не проходняк 7/10",6,,0,0,https://rezka.fi/films/drama/81169-shkolnyy-avtobus-2025-latest.html#comment5542941,2026-06-26T18:53:56+03:00,https://rezka.fi/ajax/get_comments/?t=1782489234267&news_id=81169&cstart=1&type=0&comment_id=0&skin=hdrezka,1b863b1b4a5a188d1169017983e00f15867afef3a3ffc16d45e1962fe305c874,True,film_reaction,positive,"[""enjoyment""]",enjoyment,"[""film_overall""]",[],"[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,0,False,False,False,False,,ollama,qwen3:8b,4.0.0-fast,ok
5344034,film_024,Мир Юрского периода: Возрождение,Jurassic World: Rebirth,2025,https://rezka.fi/films/fiction/77309-mir-yurskogo-perioda-vozrozhdenie-2025-latest.html,visual_effects,18,740e362faf5d24c7157aa8e2d5db8d401f86b5c44ac597b1828ca0e4f0cc0daa,оставлен 8 августа 2025 03:21,2025-08-08T03:21+03:00,"тупее давно не наблюдал.не смог,не смотреть,даже с чем-то",0,,0,0,https://rezka.fi/films/fiction/77309-mir-yurskogo-perioda-vozrozhdenie-2025-latest.html#comment5344034,2026-06-26T18:55:02+03:00,https://rezka.fi/ajax/get_comments/?t=1782489300410&news_id=77309&cstart=18&type=0&comment_id=0&skin=hdrezka,696fcde46264e9b3703e0ba00213da13a31d400fdc2ee657b53dc126fa45ef5b,True,film_reaction,negative,"[""disappointment""]",disappointment,[],"[""film_overall""]","[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,2,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5758966,film_014,Простая случайность,Yek tasadof-e sadeh,2025,https://rezka.fi/films/drama/84994-prostaya-sluchaynost-2025.html,best_original_screenplay;international_feature,1,6396f0b1247615f23c705112a8ed0c9875a28d08078a962da9a6985fdf180fc9,оставлен 4 марта 2026 21:37,2026-03-04T21:37+03:00,"не понравился, морочный, длинный, не цепляет, да и мусульмане не такие",0,,0,0,https://rezka.fi/films/drama/84994-prostaya-sluchaynost-2025.html#comment5758966,2026-06-26T18:51:50+03:00,https://rezka.fi/ajax/get_comments/?t=1782489108994&news_id=84994&cstart=1&type=0&comment_id=0&skin=hdrezka,0c81708320d14c3107b4a76eff30f4ca0fdccd011f3709d17120eef1c4892175,True,film_reaction,negative,"[""disappointment""]",disappointment,[],"[""film_overall""]","[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,2,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5708409,film_009,"Хамнет: История, вдохновившая «Гамлета»",Hamnet,2025,https://rezka.fi/films/drama/84252-hamnet-istoriya-vdohnovivshaya-gamleta-2025.html,best_picture;best_actress;best_director;best_adapted_screenplay;production_design;casting;costume_design;score,4,072c4b7ccc4170e812eff84ea113ae88a2dc64ead6e4405c7d3d6a297ab41e0d,оставлен 5 февраля 2026 17:16,2026-02-05T17:16+03:00,"Абсолютно согласна, Пол криво сыграл много где, особенно когда сын умер ~ только в финале, в образе призрака сыграл хорошо!",1,5707165,1,1,https://rezka.fi/films/drama/84252-hamnet-istoriya-vdohnovivshaya-gamleta-2025.html#comment5708409,2026-06-26T18:51:18+03:00,https://rezka.fi/ajax/get_comments/?t=1782489077169&news_id=84252&cstart=4&type=0&comment_id=0&skin=hdrezka,cc7eb3fea5b5dcd2b25c655c76061f7592cc0140c745a370d83ad70c0eec913e,True,film_reaction,positive,"[""enjoyment""]",enjoyment,"[""acting"", ""characters""]","[""acting""]","[""performance"", ""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,1,False,False,False,False,,ollama,qwen3:8b,4.0.0-fast,ok
5445136,film_021,Сират,Sirât,2025,https://rezka.fi/films/drama/82271-sirat-2025.html,international_feature;sound,1,60dee213ffcaa1a2c240ca9c770b7bcc1418710a9340d2978a17f2a1da6bbdeb,оставлен 26 сентября 2025 22:34,2025-09-26T22:34+03:00,"Те кто говорят что фильм хороший и советуют смотреть - наверное стебутся. Я люблю арт-хаус и дипрессивное кино, но это просто бессмысленная дичь. Фильм про торчков хипарей и глупого деда, и у всех их проблемы с базовой логикой. Особенно доставило спойлер ЛСД в фекалиях, которые проглотила собака. Так-то ЛСД не выходит через кал. В общем фильм похож на то еслибы смешали Безумного макса с сюжетом деприссивного арт-хауса",8,,0,0,https://rezka.fi/films/drama/82271-sirat-2025.html#comment5445136,2026-06-26T18:52:57+03:00,https://rezka.fi/ajax/get_comments/?t=1782489176351&news_id=82271&cstart=1&type=0&comment_id=0&skin=hdrezka,8bb7a205d3ea733425f924aa65e3e2c5884f15ee187b550e722862e42169242e,True,film_reaction,negative,"[""irritation_or_anger"", ""disappointment""]",disappointment,[],"[""film_overall"", ""plot"", ""characters""]","[""narrative_quality"", ""performance"", ""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,3,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5780357,film_009,"Хамнет: История, вдохновившая «Гамлета»",Hamnet,2025,https://rezka.fi/films/drama/84252-hamnet-istoriya-vdohnovivshaya-gamleta-2025.html,best_picture;best_actress;best_director;best_adapted_screenplay;production_design;casting;costume_design;score,2,805e26ddf87799f994c5c58ec1af4ef015bf9167f9f799245f486de379f2352b,оставлен 16 марта 2026 18:16,2026-03-16T18:16+03:00,"Никто не мешал этой женщине (и вам) жить не-реальную жизнь, не иметь и не воспитывать детей, никто не заставлял отказываться от того, что дорого. Могла и дальше ходить в лес, гадать на корешках и тучах. Но нет, сначала выбирают социально-одобряемые фантазии, а виноват кто-то. А то, что написала эта ""посредственность"" практически единственное из литературы, что сохраняет актуальность уже четвертое столетие",2,5754673,1,1,https://rezka.fi/films/drama/84252-hamnet-istoriya-vdohnovivshaya-gamleta-2025.html#comment5780357,2026-06-26T18:51:15+03:00,https://rezka.fi/ajax/get_comments/?t=1782489073944&news_id=84252&cstart=2&type=0&comment_id=0&skin=hdrezka,2c84c3e9381784b6bb1e0a1c5f80b822c4e57541d21d3bc256f86d138f209c1e,True,film_reaction,unclear,"[""irritation_or_anger""]",irritation_or_anger,[],[],"[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,1,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5425344,film_028,Орудия / Оружие,Weapons,2025,https://rezka.fi/films/horror/79140-orudiya-2025-latest.html,best_supporting_actress,13,f95fff0b318e42b853c19bd92798448d7143e20f7348785bcf7f9a3c149aa69a,оставлен 16 сентября 2025 17:30,2025-09-16T17:30+03:00,Достойненько. Местные нытики опять критику заныли,6,,0,0,https://rezka.fi/films/horror/79140-orudiya-2025-latest.html#comment5425344,2026-06-26T18:56:15+03:00,https://rezka.fi/ajax/get_comments/?t=1782489374433&news_id=79140&cstart=13&type=0&comment_id=0&skin=hdrezka,9dc760fdce3c2b6a20768c0f70e3881eb06fe3c9f607eafea178b77bb6523525,True,film_reaction,unclear,"[""irritation_or_anger""]",irritation_or_anger,[],[],"[""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,1,False,False,False,True,,ollama,qwen3:8b,4.0.0-fast,ok
5525379,film_025,Крушащая машина / Крушитель,The Smashing Machine,2025,https://rezka.fi/films/drama/79192-krushaschaya-mashina-2025-latest.html,makeup_hair,2,f9cea3f9b46dbe591995ad334e3efd9a07bb11b9cee6db053152a1aa5286f47f,оставлен 7 ноября 2025 17:26,2025-11-07T17:26+03:00,"Хороший фильм, понравился. Джонсон и Блант хорошо сыграли свои роли",3,,0,0,https://rezka.fi/films/drama/79192-krushaschaya-mashina-2025-latest.html#comment5525379,2026-06-26T18:55:25+03:00,https://rezka.fi/ajax/get_comments/?t=1782489323654&news_id=79192&cstart=2&type=0&comment_id=0&skin=hdrezka,868084755222fef1243179dac165b6cb652947d470668a7ab6c73ea763d33f01,True,film_reaction,positive,"[""enjoyment""]",enjoyment,"[""acting"", ""characters""]",[],"[""performance"", ""entertainment_and_affect""]","[""literal""]",False,not_applicable,not_mentioned,1,False,False,False,False,,ollama,qwen3:8b,4.0.0-fast,ok
